"key","message","comment","context"
"Actions",,,
"All tasks",,,
"Compute dates",,,
"Delay to start",,,
"Depend of",,,
"Duration",,,
"End date",,,
"Name",,,
"Project",,,
"Project management",,,
"Projects",,,
"Start date",,,
"Task",,,
"Task list",,,
"Tasks",,,
